"","player","PTS","TRB","AST","STL","BLK","missed_fg","missed_ft","TOV","G","EFF","salary"
"1","Al Horford",261,111,50,11,27,108,2,25,16,-15.5016049476501,1.2e+07
"2","Al Jefferson",207,90,28,11,17,90,13,12,14,-13.763337119591,13833333
"3","Alex Len",77,63,4,6,8,32,10,18,14,-7.72132152798378,3807120
"4","Alexis Ajinca",65,51,4,4,7,27,0,9,13,-5.60496087079004,4300000
"5","Amar'e Stoudemire",12,4,1,0,0,2,0,1,2,-3.59440043053171,1499187
"6","Anderson Varejao",34,35,5,2,2,15,3,6,12,-3.92040156910766,9638554
"7","Andre Drummond",254,247,12,24,19,92,51,35,14,-24.1477891970505,3272091
"8","Andrea Bargnani",82,26,2,1,3,49,1,10,14,-5.67992306624776,1362900
"9","Andrew Bogut",71,69,24,6,17,16,5,13,10,-9.80305551177615,1.2e+07
"10","Aron Baynes",59,53,6,4,4,24,4,10,14,-5.34465038569163,6500000
"11","Bismack Biyombo",67,95,3,2,13,30,8,11,15,-7.03511568609462,3e+06
"12","Boban Marjanovic",15,8,1,0,1,5,3,4,7,-2.77774077980022,1200000
"13","Brook Lopez",276,117,20,4,29,116,13,28,14,-18.5807438421838,2e+07
"14","Cameron Bairstow",2,3,0,0,0,3,0,0,2,-1.84897646748266,845059
"15","Channing Frye",59,31,4,1,2,22,1,4,9,-5.45656822333029,7807579
"16","Chris Andersen",3,4,0,0,0,0,1,2,2,-3.12394654818891,5e+06
"17","Chris Kaman",10,8,4,0,0,10,0,3,3,-6.12549362702457,5e+06
"18","Clint Capela",105,93,7,9,19,17,16,10,14,-8.27266466332024,1242720
"19","Cody Zeller",82,64,9,10,7,35,15,9,12,-8.73743118777024,4204200
"20","Cole Aldrich",4,4,0,0,0,1,0,1,4,-1.16297608264788,1100600
"21","Cristiano Felicio",0,0,1,0,0,0,0,0,1,-0.375364830593175,525090
"22","DeAndre Jordan",153,180,17,6,41,23,62,18,14,-16.5811987559746,19500000
"23","DeJuan Blair",5,12,3,2,0,10,1,6,5,-5.05188710301863,2e+06
"24","Dewayne Dedmon",62,61,2,8,18,24,7,9,13,-6.71829089606192,947278
"25","Dwight Howard",124,122,17,5,18,30,20,28,9,-19.3167698646946,22359364
"26","Enes Kanter",189,127,13,1,6,56,10,21,15,-11.760599622021,16400000
"27","Festus Ezeli",129,95,19,6,25,39,25,15,16,-9.92340359830848,2008748
"28","Frank Kaminsky",60,28,13,5,6,28,1,4,13,-4.57860163616428,2612500
"29","Gorgui Dieng",95,70,5,16,12,38,4,20,14,-8.79610084390574,1474440
"30","Greg Monroe",230,142,39,18,12,89,15,27,14,-17.6857898541275,16400000
"31","Hassan Whiteside",189,144,4,10,63,51,27,28,13,-18.2007577610112,981348
"32","Ian Mahinmi",87,85,16,14,19,39,19,11,13,-10.3524222646165,4e+06
"33","J.J. Hickson",103,60,13,6,9,36,19,10,13,-8.74581681471466,5613500
"34","Jahlil Okafor",276,120,19,4,25,129,21,46,15,-20.2483410280893,4582680
"35","Jason Smith",45,28,4,2,8,25,1,6,9,-6.02158474225485,4300000
"36","Jason Thompson",15,14,5,2,2,8,1,3,7,-3.3622320814378,6431250
"37","JaVale McGee",8,6,0,0,0,1,2,2,1,-9.57437326240418,1270964
"38","JaVale McGee",8,6,0,0,0,1,2,2,1,-9.57437326240418,1.2e+07
"39","Jeff Withey",14,13,0,2,5,4,2,2,6,-3.18968732118389,947276
"40","Joakim Noah",35,98,39,8,9,29,10,23,12,-11.2585825269749,13400000
"41","Joel Anthony",2,3,1,1,0,0,0,1,1,-3.99321592167341,2500000
"42","Joffrey Lauvergne",32,19,6,1,1,6,0,2,3,-8.06738059524613,1709720
"43","John Henson",60,31,8,3,11,21,7,11,10,-7.21592350618303,2943221
"44","Jonas Valanciunas",178,130,6,4,10,55,12,22,14,-12.7924726156544,4660482
"45","Karl-Anthony Towns",214,137,14,10,33,81,4,30,14,-16.4294874035984,5703600
"46","Kelly Olynyk",94,52,18,16,9,55,3,19,13,-9.87549411276271,2165160
"47","Kendrick Perkins",16,8,2,0,0,2,0,0,3,-2.78058595932765,1499200
"48","Kevin Seraphin",36,19,9,3,6,25,0,8,11,-4.76583630890566,2800000
"49","Lucas Nogueira",3,0,0,1,1,0,0,0,2,-0.756315101791427,1842000
"50","Marc Gasol",235,103,65,9,11,99,10,34,15,-16.7661993417167,19700000
"51","Marcin Gortat",122,87,20,6,11,49,10,23,11,-13.959934786009,11217391
"52","Mason Plumlee",166,138,40,18,19,49,31,29,16,-14.2329315668039,1415520
"53","Matt Bonner",1,1,0,0,0,0,1,0,3,-0.495310286252006,1499190
"54","Miles Plumlee",24,19,3,1,6,10,0,8,12,-3.04678555278134,2109294
"55","Myles Turner",49,23,1,3,7,17,3,6,8,-5.98033580481493,2357760
"56","Nikola Jokic",110,72,12,13,6,38,8,12,14,-8.2679255411193,1300000
"57","Nikola Vucevic",163,90,24,8,15,73,4,16,11,-15.1938450812498,11250000
"58","Omer Asik",11,33,0,2,3,5,5,8,7,-5.51662578359783,1.1e+07
"59","Pau Gasol",178,130,27,10,25,94,8,17,13,-16.4134722023313,7448760
"60","Robert Sacre",2,2,0,0,0,2,0,1,1,-4.17274983936475,981348
"61","Robin Lopez",123,93,28,5,17,61,3,32,15,-11.8889758217581,1.3e+07
"62","Roy Hibbert",120,95,23,5,32,39,7,23,14,-11.3167820635168,15500000
"63","Rudy Gobert",97,116,19,9,30,31,15,28,11,-15.5914690194636,1175880
"64","Salah Mejri",0,5,0,1,2,1,0,1,4,-1.45505207066288,525093
"65","Sasha Kaun",0,2,1,1,1,0,0,1,4,-0.9359364898284,1300000
"66","Steven Adams",92,78,14,5,26,26,13,14,15,-8.1218268501149,2279040
"67","Tarik Black",30,35,1,1,2,11,6,5,8,-5.33264383213444,845059
"68","Tiago Splitter",78,51,10,7,4,34,3,12,14,-6.40016378456539,8500000
"69","Tibor Pleiss",4,1,0,0,1,2,0,1,4,-1.16318946793581,3e+06
"70","Tim Duncan",148,114,40,13,24,50,10,28,14,-13.9550517179905,5e+06
"71","Timofey Mozgov",95,55,6,3,13,31,8,14,12,-8.44344075772979,4950000
"72","Tyler Zeller",50,17,6,1,1,16,3,5,10,-4.11363605864417,2616975
"73","Tyson Chandler",75,130,6,12,10,30,11,18,14,-9.93154881657488,1.3e+07
"74","Walter Tavares",1,2,1,0,0,0,1,1,3,-1.28521983613686,1e+06
"75","Willie Cauley-Stein",71,81,5,11,15,18,10,12,15,-6.75042924222011,3398280
"76","Zaza Pachulia",163,150,35,13,9,54,19,29,15,-14.3687051585848,5200000
"77","Aaron Gordon",119,71,19,9,17,51,13,15,14,-10.4337433418725,4171680
"78","Adreian Payne",38,26,5,3,2,16,1,12,9,-6.24715565150163,1938840
"79","Amir Johnson",104,73,21,11,15,34,9,20,14,-9.84521904185887,1.2e+07
"80","Andrew Nicholson",30,18,1,1,1,17,0,3,5,-6.55625514621554,2380594
"81","Anthony Bennett",9,12,0,3,0,8,1,4,7,-3.1466523858339,3650000
"82","Anthony Bennett",9,12,0,3,0,8,1,4,7,-3.1466523858339,947276
"83","Anthony Davis",256,113,22,12,28,104,21,26,11,-23.7886901054057,7070730
"84","Anthony Tolliver",50,36,9,6,3,41,4,3,13,-5.57111878705251,3e+06
"85","Blake Griffin",341,119,63,12,7,122,21,30,14,-22.1328887519898,18907725
"86","Bobby Portis",12,2,1,1,1,4,0,2,2,-5.46732180215984,1391160
